,index,_id,rt,stimulus,response,response_correct,stimURL,chunk_id,rep,block_number,composite_duration,chunk_duration,participant_condition,compatible_trial,validity,talls_name,wides_name,part_type,part_a,part_b,compatible_condition,trial_type,trial_index,time_elapsed,internal_node_id,datatype,experimentName,iterationName,workerID,gameID,compatibility,composite_id,trial_bin,flagRT
213,213,616794be9075de37027a2050,5126.099999964237,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,False,invalid,talls_100_118,wides_013_010,wide,wide_024,wide_023,none,tower-zipping,21,453775,0.0-21.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,novel,talls_100_118.png,2.0,True
214,214,616794c19075de37027a2051,1741.8999999761581,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,False,invalid,talls_122_127,wides_025_023,tall,tall_100,tall_118,A,tower-zipping,22,457032,0.0-22.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,incompatible,talls_122_127.png,2.0,False
215,215,616794c29075de37027a2052,1833.5,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,1,500,500,B,False,invalid,talls_100_118,wides_013_010,wide,wide_025,wide_011,none,tower-zipping,92,1016889,0.0-92.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,novel,talls_100_118.png,8.0,False
216,216,616794c59075de37027a2053,2321.199999988079,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,False,invalid,talls_100_118,wides_013_010,tall,tall_102,tall_127,none,tower-zipping,23,460784,0.0-23.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,novel,talls_100_118.png,2.0,False
217,217,616794c69075de37027a2054,1404.9000000022352,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,1,500,500,B,False,valid,talls_122_127,wides_025_023,tall,tall_122,tall_127,A,tower-zipping,93,1021271,0.0-93.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,incompatible,talls_122_127.png,8.0,False
218,218,616794c89075de37027a2055,1061.800000011921,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,True,valid,talls_122_127,wides_025_023,wide,wide_025,wide_023,B,tower-zipping,24,463522,0.0-24.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,compatible,talls_122_127.png,2.0,False
219,219,616794cb9075de37027a2056,1642.5,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,True,valid,talls_102_126,wides_024_011,tall,tall_102,tall_126,B,tower-zipping,25,466733,0.0-25.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,compatible,talls_102_126.png,2.0,False
220,220,616794cb9075de37027a2057,1812.8999999985099,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,1,500,500,B,True,invalid,talls_122_127,wides_025_023,wide,wide_010,wide_013,B,tower-zipping,94,1025985,0.0-94.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,compatible,talls_122_127.png,8.0,False
221,221,616794ce9075de37027a2059,1263.2000000476837,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,False,valid,talls_100_118,wides_013_010,wide,wide_013,wide_010,none,tower-zipping,26,469442,0.0-26.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,novel,talls_100_118.png,2.0,False
222,222,616794d09075de37027a205a,2195.900000002235,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,False,invalid,talls_102_126,wides_024_011,wide,wide_013,wide_023,A,tower-zipping,95,1031145,0.0-95.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,incompatible,talls_102_126.png,8.0,False
223,223,616794d09075de37027a205b,1376.699999988079,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,True,invalid,talls_122_127,wides_025_023,wide,wide_013,wide_010,B,tower-zipping,27,472356,0.0-27.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,compatible,talls_122_127.png,2.0,False
224,224,616794d49075de37027a205c,1661.6000000238419,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,False,valid,talls_100_118,wides_013_010,tall,tall_100,tall_118,none,tower-zipping,28,475491,0.0-28.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,novel,talls_100_118.png,2.0,False
225,225,616794d69075de37027a205d,1251.8999999761581,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,False,invalid,talls_102_126,wides_024_011,wide,wide_013,wide_010,A,tower-zipping,29,478098,0.0-29.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,incompatible,talls_102_126.png,2.0,False
226,226,616794d69075de37027a205e,3257.60000000149,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,False,invalid,talls_100_118,wides_013_010,tall,tall_127,tall_122,none,tower-zipping,96,1037352,0.0-96.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,novel,talls_100_118.png,8.0,False
227,227,616794d99075de37027a205f,1240.199999988079,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,True,invalid,talls_102_126,wides_024_011,tall,tall_100,tall_118,B,tower-zipping,30,480997,0.0-30.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,compatible,talls_102_126.png,2.0,False
228,228,616794db9075de37027a2060,1526.800000000745,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,False,invalid,talls_122_127,wides_025_023,tall,tall_100,tall_126,A,tower-zipping,97,1041804,0.0-97.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,incompatible,talls_122_127.png,8.0,False
229,229,616794dc9075de37027a2061,967.8000000119209,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,False,valid,talls_122_127,wides_025_023,tall,tall_122,tall_127,A,tower-zipping,31,483445,0.0-31.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,incompatible,talls_122_127.png,3.0,False
230,230,616794de9075de37027a2062,910.6999999880791,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,100,100,B,False,valid,talls_102_126,wides_024_011,wide,wide_024,wide_011,A,tower-zipping,32,485718,0.0-32.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,incompatible,talls_102_126.png,3.0,False
231,231,616794e09075de37027a2063,2191.5,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,True,invalid,talls_102_126,wides_024_011,tall,tall_100,tall_127,B,tower-zipping,98,1046907,0.0-98.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,compatible,talls_102_126.png,8.0,False
232,232,616794e19075de37027a2064,1545.5,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,False,invalid,talls_100_118,wides_013_010,tall,tall_122,tall_126,none,tower-zipping,33,488795,0.0-33.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,novel,talls_100_118.png,3.0,False
233,233,616794e49075de37027a2065,1255.2999999523163,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,False,invalid,talls_122_127,wides_025_023,tall,tall_118,tall_100,A,tower-zipping,34,491559,0.0-34.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,incompatible,talls_122_127.png,3.0,False
234,234,616794e59075de37027a2066,2222.400000002235,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,False,valid,talls_100_118,wides_013_010,tall,tall_100,tall_118,none,tower-zipping,99,1052151,0.0-99.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,novel,talls_100_118.png,8.0,False
235,235,616794e69075de37027a2067,1225.4000000357628,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,False,invalid,talls_102_126,wides_024_011,wide,wide_010,wide_013,A,tower-zipping,35,494229,0.0-35.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,incompatible,talls_102_126.png,3.0,False
236,236,616794e99075de37027a2068,1207.300000011921,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,False,valid,talls_100_118,wides_013_010,tall,tall_100,tall_118,none,tower-zipping,36,496966,0.0-36.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,novel,talls_100_118.png,3.0,False
237,237,616794ea9075de37027a2069,2203.900000002235,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,True,valid,talls_102_126,wides_024_011,tall,tall_102,tall_126,B,tower-zipping,100,1057246,0.0-100.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,compatible,talls_102_126.png,8.0,False
238,238,616794ec9075de37027a206a,1154.7999999523163,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,False,invalid,talls_100_118,wides_013_010,wide,wide_025,wide_011,none,tower-zipping,37,499591,0.0-37.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,novel,talls_100_118.png,3.0,False
239,239,616794ef9075de37027a206b,1329.800000011921,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,False,valid,talls_102_126,wides_024_011,wide,wide_024,wide_011,A,tower-zipping,38,502554,0.0-38.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,incompatible,talls_102_126.png,3.0,False
240,240,616794ef9075de37027a206c,1509.4000000022352,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,True,valid,talls_122_127,wides_025_023,wide,wide_025,wide_023,B,tower-zipping,101,1061657,0.0-101.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,compatible,talls_122_127.png,8.0,False
241,241,616794f29075de37027a206d,1417.3999999761581,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,True,invalid,talls_122_127,wides_025_023,wide,wide_010,wide_013,B,tower-zipping,39,505438,0.0-39.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,compatible,talls_122_127.png,3.0,False
242,242,616794f39075de37027a206e,1480.9000000022352,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,False,valid,talls_102_126,wides_024_011,wide,wide_024,wide_011,A,tower-zipping,102,1066036,0.0-102.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,incompatible,talls_102_126.png,8.0,False
243,243,616794f59075de37027a206f,1408.699999988079,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,True,valid,talls_102_126,wides_024_011,tall,tall_102,tall_126,B,tower-zipping,40,508458,0.0-40.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,compatible,talls_102_126.png,3.0,False
244,244,616794f79075de37027a2071,1074.6000000238419,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,True,valid,talls_122_127,wides_025_023,wide,wide_025,wide_023,B,tower-zipping,41,511033,0.0-41.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,compatible,talls_122_127.png,3.0,False
245,245,616794f79075de37027a2072,1495.5,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,False,valid,talls_100_118,wides_013_010,wide,wide_013,wide_010,none,tower-zipping,103,1070443,0.0-103.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,novel,talls_100_118.png,9.0,False
246,246,616794fa9075de37027a2073,1190.2999999523163,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,False,valid,talls_122_127,wides_025_023,tall,tall_122,tall_127,A,tower-zipping,42,513874,0.0-42.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,incompatible,talls_122_127.png,4.0,False
247,247,616794fc9075de37027a2074,1453.699999999255,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,False,invalid,talls_100_118,wides_013_010,wide,wide_023,wide_025,none,tower-zipping,104,1074806,0.0-104.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,novel,talls_100_118.png,9.0,False
248,248,616794fd9075de37027a2075,981.0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,False,valid,talls_100_118,wides_013_010,wide,wide_013,wide_010,none,tower-zipping,43,516435,0.0-43.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,novel,talls_100_118.png,4.0,False
249,249,616794ff9075de37027a2076,1171.300000011921,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,100,100,B,True,invalid,talls_102_126,wides_024_011,tall,tall_118,tall_100,B,tower-zipping,44,519416,0.0-44.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,compatible,talls_102_126.png,4.0,False
250,250,616795019075de37027a2077,2236.7999999970198,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,True,invalid,talls_122_127,wides_025_023,wide,wide_013,wide_011,B,tower-zipping,105,1080016,0.0-105.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,compatible,talls_122_127.png,9.0,False
251,251,616795029075de37027a2078,1099.2000000476837,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,100,100,B,True,valid,talls_122_127,wides_025_023,wide,wide_025,wide_023,B,tower-zipping,45,521978,0.0-45.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,compatible,talls_122_127.png,4.0,False
252,252,616795059075de37027a2079,1223.5,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,100,100,B,True,invalid,talls_122_127,wides_025_023,wide,wide_013,wide_011,B,tower-zipping,46,524796,0.0-46.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,compatible,talls_122_127.png,4.0,False
253,253,616795069075de37027a207a,1863.8999999985099,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,1,500,500,B,False,valid,talls_122_127,wides_025_023,tall,tall_122,tall_127,A,tower-zipping,106,1084824,0.0-106.0,trial_end,block_construction_zipping,pilot_0,553e1a73fdf99b5bc27514ca,9790-c81a25ca-6b47-4840-895b-ed6e0f6dfef2,incompatible,talls_122_127.png,9.0,False
254,254,616795089075de37027a207b,1104.6000000238419,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,100,100,B,False,valid,talls_102_126,wides_024_011,wide,wide_024,wide_011,A,tower-zipping,47,527456,0.0-47.0,trial_end,block_construction_zipping,pilot_0,616782d84b1083de251360e6,4007-274fcfb7-c8b1-47cc-b3e4-72d99c43088a,incompatible,talls_102_126.png,4.0,False
